Product Id,Price,MRP,Gender,Product Name,Status,Weight,thumbnail,Color,Material,Type,Sole Material,,,
31966977,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C38DB15F/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
31966978,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356CA8DAAA1/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
31966979,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203562692DD50/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966980,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203562F92C6AE/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966981,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035658925AA4/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966982,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203565192415A/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966983,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203564DC59E15/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966984,1289,4299,Women,Adriana & Gabriella Blue Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035644C585EB/2.jpg,Blue,Patent Leather,Wedges,Resin Sheet,,,
31966985,1720,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356702E72C4/2.jpg,Yellow,Synthetic Leather,,Resin Sheet,,,
31966986,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203569627AC93/2.jpg,Yellow,Synthetic Leather,Heels,Resin Sheet,,,
31966987,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035614035649/2.jpg,Yellow,Synthetic Leather,Heels,Resin Sheet,,,
31966988,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356F20A881E/2.jpg,Yellow,Synthetic Leather,Heels,Resin Sheet,,,
31966989,1289,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356ED87D789/2.jpg,Yellow,Synthetic Leather,Heels,Resin Sheet,,,
31966990,1720,4299,Women,Adriana & Gabriella Yellow Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356B8E09DE/2.jpg,Yellow,Synthetic Leather,,Resin Sheet,,,
